,time_list,x,y,psi,u,v,r,δ,npm,X_H_ref,X_R_ref,X_P_ref,Y_H_ref,Y_R_ref,N_H_ref,N_R_ref,x_bow,y_bow,x_stern,y_stern
31,31,29.660631666666667,1.17406,-0.08878250923759401,0.17900657492083397,0.06673127564344113,-0.0804960521713185,-0.6108652381980153,9.0,-1.1108118689179896,-2.934681401776339,3.804112350402214,-7.924194196767455,4.191159394370034,7.144666306308276,-8.34265834154531,31.403739153672447,1.0188946406429713,27.917524179660887,1.329225359357029
32,32,29.84485,1.2246566666666667,-0.1692785614089125,0.17581019767627892,0.06385500734062409,-0.08084737452845037,-0.6108652381980153,9.0,-1.0862375224057763,-2.923607840816675,3.819651863104823,-7.719004317412628,4.175344710357952,7.148554788139255,-8.311178626011337,31.569836488905903,0.9298319507894293,28.1198635110941,1.5194813825439042
33,33,30.028904999999998,1.2579800000000003,-0.2501259359373629,0.17586118319909533,0.07203174887917604,-0.08554399261818846,-0.6108652381980153,9.0,-1.2171905679841202,-2.895349634273657,3.8180115094777536,-9.019929897666595,4.134987809009434,8.108758760889963,-8.230846715913524,31.724447199711154,0.8248095381738791,28.333362800288842,1.6911504618261215
34,34,30.217123333333333,1.28424,-0.33566992855555133,0.18743667542053896,0.07748650919543555,-0.09039329844071142,-0.6108652381980153,9.0,-1.3740770266157394,-2.923430605638716,3.760563195630102,-10.205513824895343,4.1750915922918255,9.084455660528407,-8.3106747851055,31.869455563599452,0.7077868789018507,28.564791103067215,1.8606931210981494
35,35,30.41962333333333,1.2956599999999998,-0.42606322699626276,0.18206155917297523,0.07277335834902174,-0.0830283205125939,-0.6108652381980153,9.0,-1.2011547831455365,-2.930783000268456,3.7882708135951844,-8.767211770396457,4.185591900027069,7.681375319107958,-8.331576037401918,32.013173031471965,0.5724039184063054,28.826073635194696,2.0189160815936944
36,36,30.615485,1.2866833333333334,-0.5090915475088567,0.1828783907470597,0.07897161536829331,-0.0836056692285041,-0.6108652381980153,9.0,-1.2512932785043362,-2.9226956214720303,3.783766072647089,-9.409408751602149,4.174041926119187,7.919530419871363,-8.308585385627454,32.143563358255655,0.4337609857361414,29.087406641744344,2.1396056809305253
37,37,30.81366166666667,1.2665083333333333,-0.5926972167373608,0.16670825740602324,0.06142913954198107,-0.07571757181593108,-0.6108652381980153,9.0,-0.9693092298118066,-2.9035523330391504,3.8647009172043525,-6.9019164773689,4.14670247690128,6.29827009295632,-8.25416519717616,32.26517647287815,0.28895794212640136,29.36214686045518,2.2440587245402654
38,38,30.98625,1.2243366666666666,-0.6684147885532918,0.16538479938820952,0.06961518802347902,-0.07303650071683165,-0.6108652381980153,9.0,-0.9756009607490883,-2.893656585438947,3.8709188354343147,-7.240765617338006,4.132569884690826,6.044354061843903,-8.226033747809053,32.35965888078235,0.13978696924004197,29.612841119217652,2.3088863640932913
39,39,31.159188333333333,1.176475,-0.7414512892701235,0.1700674368650972,0.0702200968093504,-0.0815566504084928,-0.6108652381980153,9.0,-1.1234374691424625,-2.885429859457433,3.846801115543121,-8.335430991818821,4.120820902378313,7.399791011316293,-8.202646962418399,32.44979442382369,-0.005403132122427934,29.868582242842976,2.358353132122428
40,40,31.332035,1.113405,-0.8230079396786163,0.1627435428946389,0.059431222377821,-0.06857560493777193,-0.6108652381980153,9.0,-0.847936691211531,-2.9120546092282353,3.8858820243972585,-5.969383427609252,4.158844985693492,5.230664426514415,-8.278335311631535,32.522068043127966,-0.1696855487390947,30.142001956872036,2.396495548739095
